time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-14T01:43:33.744Z,69.5035,-144.0698,0,2.1,ml,,,,0.49,ak,ak20253712,2018-09-14T01:49:24.045Z,"72km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-09-14T01:32:44.621Z,63.2927,-149.612,87.6,1.9,ml,,,,0.58,ak,ak20253702,2018-09-14T01:37:29.615Z,"34km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-09-14T01:28:27.388Z,69.5914,-144.29,0,2.9,ml,,,,0.64,ak,ak20253695,2018-09-14T01:34:07.983Z,"65km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-14T01:17:41.230Z,36.5400009,-121.0889969,4.46,1.17,md,6,112,0.05531,0.02,nc,nc73084170,2018-09-14T01:33:04.921Z,"5km E of Pinnacles, CA",earthquake,0.64,3.36,0.21,4,automatic,nc,nc
2018-09-14T01:01:05.000Z,33.5115,-116.7918333,3.11,0.61,ml,20,38,0.007168,0.18,ci,ci38059447,2018-09-14T01:04:45.593Z,"10km NE of Aguanga, CA",earthquake,0.28,0.96,0.141,15,automatic,ci,ci
2018-09-14T00:48:46.280Z,32.8875,-116.2668333,2.92,1.13,ml,21,79,0.1309,0.25,ci,ci38059439,2018-09-14T00:52:24.233Z,"26km ENE of Pine Valley, CA",earthquake,0.57,2.04,0.135,14,automatic,ci,ci
2018-09-14T00:48:33.180Z,42.865,141.943,35.15,4.4,mb,,80,1.236,0.64,us,us2000hee6,2018-09-14T01:12:33.040Z,"24km ENE of Chitose, Japan",earthquake,7,9.1,0.061,77,reviewed,us,us
2018-09-14T00:42:33.199Z,69.4761,-144.1236,0,2.3,ml,,,,0.97,ak,ak20253688,2018-09-14T00:47:31.478Z,"75km SSW of Kaktovik, Alaska",earthquake,,1.5,,,automatic,ak,ak
2018-09-14T00:42:20.060Z,63.9151,-148.3036,10.8,1.1,ml,,,,0.55,ak,ak20253689,2018-09-14T00:45:50.663Z,"33km ENE of Healy, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-14T00:37:32.560Z,19.3396664,-155.0525055,3.34,2.25,ml,11,244,0.06598,0.31,hv,hv70592737,2018-09-14T00:43:16.170Z,"19km S of Fern Acres, Hawaii",earthquake,2.11,4.09,0.35,5,automatic,hv,hv
2018-09-14T00:33:41.830Z,69.1133,-147.124,0,1.6,ml,,,,0.77,ak,ak20253684,2018-09-14T00:38:37.945Z,"127km NNW of Arctic Village, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-09-14T00:31:17.724Z,68.7713,-148.3411,14.4,1.6,ml,,,,0.95,ak,ak20253683,2018-09-14T00:34:46.153Z,"135km WNW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-14T00:14:15.994Z,67.6233,-156.642,0.1,2.9,ml,,,,0.78,ak,ak20253677,2018-09-14T00:24:06.040Z,"85km N of Kobuk, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-09-14T00:05:13.010Z,38.8190002,-122.7943344,2.03,2.06,md,10,89,0.01104,0.04,nc,nc73084155,2018-09-14T00:30:03.737Z,"6km NW of The Geysers, CA",earthquake,0.27,0.8,0.12,6,automatic,nc,nc
2018-09-14T00:03:56.750Z,33.5171667,-116.5575,13.67,0.54,ml,19,96,0.04349,0.11,ci,ci38059423,2018-09-14T00:40:25.762Z,"12km ESE of Anza, CA",earthquake,0.25,0.37,0.191,4,reviewed,ci,ci
2018-09-13T23:55:13.838Z,69.2993,-146.6634,0,2.6,ml,,,,1.07,ak,ak20253670,2018-09-14T00:38:14.040Z,"124km SSE of Prudhoe Bay, Alaska",earthquake,,1.5,,,automatic,ak,ak
2018-09-13T23:54:16.560Z,69.6525,-143.9792,8.8,2.1,ml,,,,1.13,ak,ak20253669,2018-09-13T23:57:42.694Z,"55km SSW of Kaktovik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-09-13T23:49:04.690Z,30.8988,57.2896,10,4.3,mb,,91,5.436,0.75,us,us2000hed2,2018-09-14T00:04:16.040Z,"61km SE of Ravar, Iran",earthquake,9,1.9,0.082,42,reviewed,us,us
2018-09-13T23:44:25.274Z,61.8509,-150.1126,44.1,1,ml,,,,0.55,ak,ak20253644,2018-09-13T23:48:48.756Z,"12km NNW of Willow, Alaska",earthquake,,1.7,,,automatic,ak,ak
2018-09-13T23:40:33.040Z,37.6301667,-119.0393333,-2.95,2.05,md,8,119,0.006027,0.14,nc,nc73084150,2018-09-14T01:19:03.842Z,"5km W of Mammoth Lakes, CA",earthquake,0.33,0.89,0.314,4,reviewed,nc,nc
2018-09-13T23:37:02.064Z,61.2744,-150.7082,53.4,0.7,ml,,,,0.53,ak,ak20253641,2018-09-13T23:40:25.423Z,"43km W of Anchorage, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-13T23:33:19.097Z,68.7857,-148.0873,5.2,1.8,ml,,,,0.84,ak,ak20253638,2018-09-13T23:36:44.105Z,"127km NW of Arctic Village, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-09-13T23:26:47.272Z,69.1072,-146.6395,9.9,3.2,ml,,,,0.68,ak,ak20253626,2018-09-14T00:12:18.040Z,"129km NNW of Arctic Village, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-09-13T23:24:16.481Z,69.1802,-146.5401,13.2,2.4,ml,,,,0.78,ak,ak20253622,2018-09-14T00:43:25.040Z,"124km NNW of Arctic Village, Alaska",earthquake,,1.6,,,automatic,ak,ak
2018-09-13T23:21:56.105Z,69.6988,-144.8851,6.4,2,ml,,,,0.97,ak,ak20253621,2018-09-13T23:34:32.909Z,"68km SW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-09-13T23:17:40.480Z,33.5001667,-116.7943333,3.7,0.51,ml,20,97,0.01317,0.09,ci,ci38059391,2018-09-13T23:27:18.429Z,"9km NE of Aguanga, CA",earthquake,0.17,0.31,0.071,9,reviewed,ci,ci
2018-09-13T23:07:18.430Z,33.642,-116.6943333,13.59,0.64,ml,22,62,0.03183,0.08,ci,ci38059375,2018-09-13T23:32:52.829Z,"10km N of Anza, CA",earthquake,0.19,0.29,0.099,11,reviewed,ci,ci
2018-09-13T23:04:00.733Z,62.5794,-151.3556,94.1,1.3,ml,,,,0.63,ak,ak20253618,2018-09-13T23:09:23.156Z,"70km WNW of Talkeetna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-09-13T22:41:44.833Z,69.6047,-144.9145,0,2.4,ml,,,,0.91,ak,ak20253611,2018-09-13T22:53:57.044Z,"76km SW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-09-13T22:39:39.978Z,61.9837,-147.6288,10.1,3.4,ml,,,,0.71,ak,ak20253596,2018-09-13T23:02:51.040Z,"70km ENE of Sutton-Alpine, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-09-13T22:37:32.090Z,37.5515,-118.9053333,3.76,0.51,md,9,175,0.06102,0.02,nc,nc73084125,2018-09-14T00:00:48.946Z,"12km SE of Mammoth Lakes, CA",earthquake,0.6,1.58,0.137,7,reviewed,nc,nc
2018-09-13T22:35:05.123Z,68.8658,-148.1617,4.5,1.9,ml,,,,0.82,ak,ak20253592,2018-09-13T22:39:10.783Z,"135km NW of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-09-13T22:30:16.130Z,35.018,-118.4738333,7.22,1.84,ml,39,39,0.112,0.14,ci,ci38059367,2018-09-13T23:40:53.890Z,"13km S of Tehachapi, CA",earthquake,0.14,0.96,0.194,59,reviewed,ci,ci
2018-09-13T22:26:43.465Z,69.5649,-144.0277,0.6,2.6,ml,,,,0.79,ak,ak20253587,2018-09-14T00:30:31.040Z,"65km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-09-13T22:26:24.390Z,33.5006667,-116.7955,3.91,1.01,ml,41,33,0.01236,0.14,ci,ci38059359,2018-09-13T23:53:00.240Z,"9km NE of Aguanga, CA",earthquake,0.13,0.28,0.127,26,reviewed,ci,ci
2018-09-13T22:16:22.550Z,38.7868333,-122.7658333,2.88,0.83,md,27,98,0.01609,0.06,nc,nc73084100,2018-09-13T23:46:16.792Z,"1km NW of The Geysers, CA",earthquake,0.19,0.39,0.031,4,reviewed,nc,nc
2018-09-13T21:55:21.250Z,46.7846667,-117.1016667,-0.28,2.19,md,8,147,0.7684,0.53,uw,uw61428041,2018-09-13T23:18:54.250Z,"8km NE of Pullman, Washington",explosion,1.65,31.61,0.115,7,reviewed,uw,uw
